offense_general,offense_detail,percent,count,year,type,,,
Violent,Homicide,0.0086,922.7542,1998,federal,,,
Violent,Other,0.0208,2231.7776,1998,federal,,,
Violent,Robbery,0.0837,8980.7589,1998,federal,,,
Drug,Drug possession,0.0021,245.7,1999,federal,,,
Drug,Other,0.5668,66315.6,1999,federal,,,
Other,Other,0.0303,3545.1,1999,federal,,,
Property,Burglary,0.002,234,1999,federal,,,
Property,Fraud,0.0469,5487.3,1999,federal,,,
Property,Other,0.0238,2784.6,1999,federal,,,
Public Order,Immigration,0.0867,10143.9,1999,federal,,,
Public Order,Other,0.0549,6423.3,1999,federal,,,
Public Order,Weapons,0.08,9360,1999,federal,,,
Violent,Homicide,0.0085,994.5,1999,federal,,,
Violent,Other,0.0202,2363.4,1999,federal,,,
Violent,Robbery,0.0777,9090.9,1999,federal,,,
Drug,Drug possession,0.003,387.987,2000,federal,,,
Drug,Other,0.5645,73006.2205,2000,federal,,,
Other,Other,0.0072,931.1688,2000,federal,,,
Property,Burglary,0.0022,284.5238,2000,federal,,,
Property,Fraud,0.0478,6181.9262,2000,federal,,,
Property,Other,0.0262,3388.4198,2000,federal,,,
Public Order,Immigration,0.1057,13670.0753,2000,federal,,,
Public Order,Other,0.0584,7552.8136,2000,federal,,,
Public Order,Weapons,0.0824,10656.7096,2000,federal,,,
Violent,Homicide,0.0096,1241.5584,2000,federal,,,
Violent,Other,0.0198,2560.7142,2000,federal,,,
Violent,Robbery,0.0732,9466.8828,2000,federal,,,
Drug,Drug possession,0.0029,395.5455,2001,federal,,,
Drug,Other,0.5632,76817.664,2001,federal,,,
Other,Other,0.0076,1036.602,2001,federal,,,
Property,Burglary,0.0019,259.1505,2001,federal,,,
Property,Fraud,0.0464,6328.728,2001,federal,,,
Property,Other,0.0248,3382.596,2001,federal,,,
Public Order,Immigration,0.1101,15017.0895,2001,federal,,,
Public Order,Other,0.0559,7624.4805,2001,federal,,,
Public Order,Weapons,0.0891,12152.7945,2001,federal,,,
Violent,Homicide,0.0091,1241.1945,2001,federal,,,
Violent,Other,0.0196,2673.342,2001,federal,,,
Violent,Robbery,0.0695,9479.4525,2001,federal,,,
Drug,Drug possession,0.0031,472.6229,2003,federal,,,
Drug,Other,0.5596,85316.0564,2003,federal,,,
Other,Other,0.0076,1158.6884,2003,federal,,,
Property,Burglary,0.0016,243.9344,2003,federal,,,
Property,Fraud,0.0456,6952.1304,2003,federal,,,
Property,Other,0.0226,3445.5734,2003,federal,,,
Public Order,Immigration,0.1109,16907.7031,2003,federal,,,
Public Order,Other,0.0553,8430.9827,2003,federal,,,
Public Order,Weapons,0.105,16008.195,2003,federal,,,
Violent,Homicide,0.0082,1250.1638,2003,federal,,,
Violent,Other,0.0178,2713.7702,2003,federal,,,
Violent,Robbery,0.0627,9559.1793,2003,federal,,,
Drug,Drug possession,0.0018,280.1718,2004,federal,,,
Drug,Other,0.5526,86012.7426,2004,federal,,,
Other,Other,0.0073,1136.2523,2004,federal,,,
Property,Burglary,0.0012,186.7812,2004,federal,,,
Property,Fraud,0.0396,6163.7796,2004,federal,,,
Property,Other,0.019,2957.369,2004,federal,,,
Public Order,Immigration,0.1164,18117.7764,2004,federal,,,
Public Order,Other,0.056,8716.456,2004,federal,,,
Public Order,Weapons,0.1226,19082.8126,2004,federal,,,
Violent,Homicide,0.0084,1307.4684,2004,federal,,,
Violent,Other,0.0173,2692.7623,2004,federal,,,
Violent,Robbery,0.0578,8996.6278,2004,federal,,,
Drug,Drug possession,0.0013,212.1197,2005,federal,,,
Drug,Other,0.5421,88453.9149,2005,federal,,,
Other,Other,0.0113,1843.8097,2005,federal,,,
Property,Burglary,0.0012,195.8028,2005,federal,,,
Property,Fraud,0.0377,6151.4713,2005,federal,,,
Property,Other,0.0168,2741.2392,2005,federal,,,
Public Order,Immigration,0.1207,19694.4983,2005,federal,,,
Public Order,Other,0.0557,9088.5133,2005,federal,,,
Public Order,Weapons,0.1332,21734.1108,2005,federal,,,
Violent,Homicide,0.0081,1321.6689,2005,federal,,,
Violent,Other,0.0172,2806.5068,2005,federal,,,
Violent,Robbery,0.0546,8909.0274,2005,federal,,,
Drug,Drug possession,0.0011,186.252,2006,federal,,,
Drug,Other,0.5425,91856.1,2006,federal,,,
Other,Other,0.0098,1659.336,2006,federal,,,
Property,Burglary,0.0011,186.252,2006,federal,,,
Property,Fraud,0.038,6434.16,2006,federal,,,
Property,Other,0.0164,2776.848,2006,federal,,,
Public Order,Immigration,0.1151,19488.732,2006,federal,,,
Public Order,Other,0.0584,9888.288,2006,federal,,,
Public Order,Weapons,0.1412,23907.984,2006,federal,,,
Violent,Homicide,0.008,1354.56,2006,federal,,,
Violent,Other,0.0169,2861.508,2006,federal,,,
Violent,Robbery,0.0514,8703.048,2006,federal,,,
Drug,Drug possession,0.001,176.346,2007,federal,,,
Drug,Other,0.5428,95720.6088,2007,federal,,,
Other,Other,0.0086,1516.5756,2007,federal,,,
Property,Burglary,0.001,176.346,2007,federal,,,
Property,Fraud,0.0398,7018.5708,2007,federal,,,
Property,Other,0.0155,2733.363,2007,federal,,,
Public Order,Immigration,0.1131,19944.7326,2007,federal,,,
Public Order,Other,0.0621,10951.0866,2007,federal,,,
Public Order,Weapons,0.1453,25623.0738,2007,federal,,,
Violent,Homicide,0.0079,1393.1334,2007,federal,,,
Violent,Other,0.0159,2803.9014,2007,federal,,,
Violent,Robbery,0.0468,8252.9928,2007,federal,,,
Drug,Drug possession,0.0009,160.677,2008,federal,,,
Drug,Other,0.5313,94852.989,2008,federal,,,
Other,Other,0.0079,1410.387,2008,federal,,,
Property,Burglary,0.001,178.53,2008,federal,,,
Property,Fraud,0.0439,7837.467,2008,federal,,,
Property,Other,0.0147,2624.391,2008,federal,,,
Public Order,Immigration,0.1118,19959.654,2008,federal,,,
Public Order,Other,0.0688,12282.864,2008,federal,,,
Public Order,Weapons,0.1509,26940.177,2008,federal,,,
Violent,Homicide,0.0079,1410.387,2008,federal,,,
Violent,Other,0.0161,2874.333,2008,federal,,,
Violent,Robbery,0.0448,7998.144,2008,federal,,,
Drug,Drug possession,0.0009,166.7457,2009,federal,,,
Drug,Other,0.524,97083.052,2009,federal,,,
Other,Other,0.0075,1389.5475,2009,federal,,,
Property,Burglary,0.0009,166.7457,2009,federal,,,
Property,Fraud,0.0431,7985.2663,2009,federal,,,
Property,Other,0.0141,2612.3493,2009,federal,,,
Public Order,Immigration,0.1195,22140.1235,2009,federal,,,
Public Order,Other,0.0742,13747.2566,2009,federal,,,
Public Order,Weapons,0.1513,28031.8049,2009,federal,,,
Violent,Homicide,0.0075,1389.5475,2009,federal,,,
Violent,Other,0.0154,2853.2042,2009,federal,,,
Violent,Robbery,0.0417,7725.8841,2009,federal,,,
Drug,Drug possession,0.0008,149.0456,2010,federal,,,
Drug,Other,0.5198,96842.3786,2010,federal,,,
Other,Other,0.0065,1210.9955,2010,federal,,,
Property,Burglary,0.0008,149.0456,2010,federal,,,
Property,Fraud,0.0435,8104.3545,2010,federal,,,
Property,Other,0.0139,2589.6673,2010,federal,,,
Public Order,Immigration,0.1153,21481.1971,2010,federal,,,
Public Order,Other,0.0823,15333.0661,2010,federal,,,
Public Order,Weapons,0.1537,28635.3859,2010,federal,,,
Violent,Homicide,0.0075,1397.3025,2010,federal,,,
Violent,Other,0.0155,2887.7585,2010,federal,,,
Violent,Robbery,0.0404,7526.8028,2010,federal,,,
Violent,Murder,0.135,37352,1979,state,,,
Violent,Manslaughter,0.04,10941,1979,state,,,
Violent,Sexual Assault,0.062,17053,1979,state,,,
Violent,Robbery,0.249,68324,1979,state,,,
Violent,Assault,0.084,17554,1979,state,,,
Violent,Other,0.024,6517,1979,state,,,
Property,Burglary,0.181,49687,1979,state,,,
Property,Larceny,0.047,13018,1979,state,,,
Property,Auto theft,0.019,5138,1979,state,,,
Property,fraud,0.043,11894,1979,state,,,
Property,Other,0.021,5825,1979,state,,,
Drug,All Drug,0.071,19420,1979,state,,,
Other,Other,0.0003,859,1979,state,,,
Violent,   Homicide,0.021635754,1233,1990,federal,,,
Violent,   Robbery,0.090508695,5158,1990,federal,,,
Violent,   Other violent,0.055554581,3166,1990,federal,,,
Property,   Burglary,0.007755883,442,1990,federal,,,
Property,   Fraud,0.089719069,5113,1990,federal,,,
Property,   Other property,0.041762445,2380,1990,federal,,,
Drug,Drug offenses,0.534664584,30470,1990,federal,,,
Public Order,   Immigration,0.030321641,1728,1990,federal,,,
Public Order,   Weapons,0.053922687,3073,1990,federal,,,
Public Order,   Other,0.066398779,3784,1990,federal,,,
Other,Other/unspecified,0.007755883,442,1990,federal,,,
Violent,   Homicide,0.010964688,966,1995,federal,,,
Violent,   Robbery,0.071974211,6341,1995,federal,,,
Violent,   Other violent,0.045561344,4014,1995,federal,,,
Property,   Burglary,0.0018615,164,1995,federal,,,
Property,   Fraud,0.063892578,5629,1995,federal,,,
Property,   Other property,0.019647904,1731,1995,federal,,,
Drug,Drug offenses,0.587246456,51737,1995,federal,,,
Public Order,   Immigration,0.0409984,3612,1995,federal,,,
Public Order,   Weapons,0.085345229,7519,1995,federal,,,
Public Order,   Other,0.05256467,4631,1995,federal,,,
Other,Other/unspecified,0.01994302,1757,1995,federal,,,
Violent,Homicide,0.011697169,1084,1996,federal,,,
Violent,Robbery,0.089930076,8334,1996,federal,,,
Violent,Assault,0.006960031,645,1996,federal,,,
Violent,Other Violent,0.015754489,1460,1996,federal,,,
Property,   Burglary,0.001953125,181,1996,federal,,,
Property,   Fraud,0.062661861,5807,1996,federal,,,
Property,   Other property,0.019347807,1793,1996,federal,,,
Drug,Drug offenses,0.595584427,55194,1996,federal,,,
Public Order,   Immigration,0.048299378,4476,1996,federal,,,
Public Order,   Weapons,0.080811896,7489,1996,federal,,,
Public Order,   Other,0.056878021,5271,1996,federal,,,
Other,Other,0.010218836,947,1996,federal,,,
Violent,Murder,0.111993484,50600,1985,state,,,
Violent,Manslaughter,0.032092994,14500,1985,state,,,
Violent,Rape,0.042938213,19400,1985,state,,,
Violent,Other sexual assault,0.044930192,20300,1985,state,,,
Violent,Robbery,0.208051136,94000,1985,state,,,
Violent,Assault,0.07990049,36100,1985,state,,,
Violent,Other,0.025010403,11300,1985,state,,,
Property,Burglary,0.164891592,74500,1985,state,,,
Property,Larceny,0.0599807,27100,1985,state,,,
Property,Motor vehicle theft,0.013943853,6300,1985,state,,,
Property,Fraud,0.038068931,17200,1985,state,,,
Property,Other,0.032978318,14900,1985,state,,,
Drug,Drug,0.086097757,38900,1985,state,,,
Public Order,Public Order,0.050906129,23000,1985,state,,,
Other,Other,0.007082592,3200,1985,state,,,
Violent,Murder,0.105179506,72000,1990,state,,,
Violent,Manslaughter,0.019282909,13200,1990,state,,,
Violent,Rape,0.035790249,24500,1990,state,,,
Violent,Other sexual assault,0.057118315,39100,1990,state,,,
Violent,Robbery,0.144913987,99200,1990,state,,,
Violent,Assault,0.077862051,53300,1990,state,,,
Violent,Other,0.018114248,12400,1990,state,,,
Property,Burglary,0.127384069,87200,1990,state,,,
Property,Larceny,0.050836761,34800,1990,state,,,
Property,Motor vehicle theft,0.021035901,14400,1990,state,,,
Property,Fraud,0.029508695,20200,1990,state,,,
Property,Other,0.024980133,17100,1990,state,,,
Drug,Drug,0.217078815,148600,1990,state,,,
Public Order,Public Order,0.066467605,45500,1990,state,,,
Other,Other,0.004528562,3100,1990,state,,,
Violent,Murder,0.104347088,103200,1995,state,,,
Violent,Manslaughter,0.016278955,16100,1995,state,,,
Violent,Rape,0.03660237,36200,1995,state,,,
Violent,Other sexual assault,0.059655796,59000,1995,state,,,
Violent,Robbery,0.134276097,132800,1995,state,,,
Violent,Assault,0.089382583,88400,1995,state,,,
Violent,Other,0.020020081,19800,1995,state,,,
Property,Burglary,0.112941567,111700,1995,state,,,
Property,Larceny,0.050859094,50300,1995,state,,,
Property,Motor vehicle theft,0.02264898,22400,1995,state,,,
Property,Fraud,0.02730011,27000,1995,state,,,
Property,Other,0.026288995,26000,1995,state,,,
Drug,Drug,0.227399806,224900,1995,state,,,
Public Order,Public Order,0.066834714,66100,1995,state,,,
Other,Other,0.003033346,3000,1995,state,,,
Violent,Murder,0.117301458,34700,1980,state,,,
Violent,Manslaughter,0.040227301,11900,1980,state,,,
Violent,Rape,0.04462188,13200,1980,state,,,
Violent,Other sexual assault,0.024677252,7300,1980,state,,,
Violent,Robbery,0.253533411,75000,1980,state,,,
Violent,Assault,0.07876438,23300,1980,state,,,
Violent,Other,0.026367475,7800,1980,state,,,
Property,Burglary,0.170036407,50300,1980,state,,,
Property,Larceny,0.045297969,13400,1980,state,,,
Property,Motor,0.011831559,3500,1980,state,,,
Property,Fraud,0.039889257,11800,1980,state,,,
Property,Other,0.031776187,9400,1980,state,,,
Drug,Drug,0.064228464,19000,1980,state,,,
Public Order,Public Order,0.041917524,12400,1980,state,,,
Other,Other,0.006084802,1800,1980,state,,,
Violent,Homicide,0.036104977,785.5720816,1980,federal,,,
Violent,Assault,0.020235222,440.2779518,1980,federal,,,
Violent,Robbery,0.239792512,5217.405475,1980,federal,,,
Violent,Other,0.039854142,867.1464229,1980,federal,,,
Property,Burglary,0.012274665,267.0721586,1980,federal,,,
Property,Fraud,0.101227466,2202.507216,1980,federal,,,
Property,Other,0.125365929,2727.711879,1980,federal,,,
Drug,Drug,0.251656309,5475.53798,1980,federal,,,
Public Order,Immigration,0.046582096,1013.533255,1980,federal,,,
Public Order,Weapons,0.037851163,823.5656104,1980,federal,,,
Public Order,Escape,0.007652406,166.5010528,1980,federal,,,
Public Order,Other,0.012685532,276.0118124,1980,federal,,,
Other,Other,0.067176827,2105.724822,1980,federal,,,
Violent,Homicide,0.035969138,1127.488608,1981,federal,,,
Violent,Assault,0.019777593,619.9484189,1981,federal,,,
Violent,Robbery,0.19621835,6150.660412,1981,federal,,,
Violent,Other,0.02941283,921.9745717,1981,federal,,,
Property,Burglary,0.010577028,331.5475061,1981,federal,,,
Property,Fraud,0.101604665,3184.899844,1981,federal,,,
Property,Other,0.079400152,2488.877169,1981,federal,,,
Drug,Drug,0.343463614,10766.21045,1981,federal,,,
Public Order,Immigration,0.031332633,982.1527149,1981,federal,,,
Public Order,Weapons,0.033542218,1051.414351,1981,federal,,,
Public Order,Escape,0.00778788,244.1188829,1981,federal,,,
Public Order,Other,0.01840113,576.8018256,1981,federal,,,
Other,,0.092512769,2899.905241,1981,federal,,,
Violent,Murder,0.13105872,179000,2010,state,,,
Violent,Manslaughter,0.0123737,16900,2010,state,,,
Violent,Rape,0.049641236,67800,2010,state,,,
Violent,Other sexual assault,0.072924293,99600,2010,state,,,
Violent,Robbery,0.13596427,185700,2010,state,,,
Violent,Assault,0.101112901,138100,2010,state,,,
Violent,Other violent,0.028554693,39000,2010,state,,,
Property,Burglary,0.095914482,131000,2010,state,,,
Property,Larceny,0.036535364,49900,2010,state,,,
Property,Motor vehicle theft,0.014496998,19800,2010,state,,,
Property,Fraud,0.024308098,33200,2010,state,,,
Property,Other property,0.020500805,28000,2010,state,,,
Drug,Drug,0.177844487,242900,2010,state,,,
Public Order,Public Order,0.088592766,121000,2010,state,,,
Other,Other,0.010177186,13900,2010,state,,,
Violent,Murder,0.128557107,166700,2005,state,,,
Violent,Manslaughter,0.012878846,16700,2005,state,,,
Violent,Rape,0.046888255,60800,2005,state,,,
Violent,Other sexual assault,0.080049356,103800,2005,state,,,
Violent,Robbery,0.137194417,177900,2005,state,,,
Violent,Assault,0.099637541,129200,2005,state,,,
Violent,Other violent,0.025063623,32500,2005,state,,,
Property,Burglary,0.095935837,124400,2005,state,,,
Property,Larceny,0.034857716,45200,2005,state,,,
Property,Motor vehicle theft,0.01727462,22400,2005,state,,,
Property,Fraud,0.024755148,32100,2005,state,,,
Property,Other property,0.019125472,24800,2005,state,,,
Drug,Drug,0.195342022,253300,2005,state,,,
Public Order,Public Order,0.076116295,98700,2005,state,,,
Other,Other,0.006246626,8100,2005,state,,,
Violent,Murder,0.129559019,156300,2000,state,,,
Violent,Manslaughter,0.014340186,17300,2000,state,,,
Violent,Rape,0.025530504,30800,2000,state,,,
Violent,Other sexual assault,0.068882626,83100,2000,state,,,
Violent,Robbery,0.131548408,158700,2000,state,,,
Violent,Assault,0.096816976,116800,2000,state,,,
Violent,Other violent,0.021634615,26100,2000,state,,,
Property,Burglary,0.092257958,111300,2000,state,,,
Property,Larceny,0.0378813,45700,2000,state,,,
Property,Motor vehicle theft,0.015583554,18800,2000,state,,,
Property,Fraud,0.026939655,32500,2000,state,,,
Property,Other property,0.024950265,30100,2000,state,,,
Drug,Drug,0.20813992,251100,2000,state,,,
Public Order,Public Order,0.103282493,124600,2000,state,,,
Other,Other,0.00265252,3200,2000,state,,,
